node_name	node_type
UBERON:0034921	0
UBERON:0034929	0
UBERON:0034946	0
UBERON:0034947	0
UBERON:0035118	0
UBERON:0035804	0
UBERON:0035965	0
UBERON:0036215	0
UBERON:0036217	0
UBERON:0036244	0
CHEBI:24532	0
CHEBI:36962	0
CHEBI:33832	0
CHEBI:33659	0
CHEBI:51958	0
CHEBI:5686	0
CHEBI:33671	0
CHEBI:33672	0
CHEBI:24533	0
CHEBI:24621	0
CHEBI:33280	0
CHEBI:25512	0
CHEBI:48705	0
CHEBI:24651	0
CHEBI:25806	0
CHEBI:25741	0
CHEBI:33262	0
CHEBI:36963	0
CHEBI:33608	0
CHEBI:33692	0
CHEBI:37577	0
CHEBI:24866	0
CHEBI:33241	0
CHEBI:50312	0
CHEBI:24663	0
CHEBI:33853	0
CHEBI:84729	0
CHEBI:36248	0
CHEBI:36238	0
CHEBI:24828	0
CHEBI:24833	0
CHEBI:24834	0
CHEBI:25696	0
CHEBI:33273	0
CHEBI:24835	0
CHEBI:33259	0
CHEBI:33497	0
CHEBI:36357	0
CHEBI:24836	0
CHEBI:33242	0
CHEBI:35406	0
CHEBI:33238	0
CHEBI:24868	0
CHEBI:35479	0
CHEBI:24873	0
CHEBI:33744	0
CHEBI:24875	0
CHEBI:33515	0
CHEBI:82663	0
CHEBI:25046	0
CHEBI:26932	0
CHEBI:25213	0
CHEBI:25414	0
CHEBI:60242	0
CHEBI:25367	0
CHEBI:33595	0
CHEBI:25375	0
CHEBI:25555	0
CHEBI:25585	0
CHEBI:25805	0
CHEBI:26833	0
CHEBI:27594	0
CHEBI:28659	0
CHEBI:33300	0
CHEBI:25704	0
CHEBI:26820	0
CHEBI:33303	0
CHEBI:33304	0
CHEBI:26835	0
CHEBI:36902	0
CHEBI:26020	0
CHEBI:26079	0
CHEBI:26078	0
CHEBI:59698	0
CHEBI:36359	0
CHEBI:26082	0
CHEBI:33302	0
CHEBI:33408	0
CHEBI:33459	0
CHEBI:35881	0
CHEBI:51143	0
CHEBI:26708	0
CHEBI:26712	0
CHEBI:33296	0
CHEBI:26714	0
CHEBI:37246	0
CHEBI:26819	0
CHEBI:35701	0
CHEBI:37826	0
CHEBI:26836	0
CHEBI:33402	0
CHEBI:33833	0
CHEBI:27027	0
CHEBI:33284	0
CHEBI:33937	0
CHEBI:38166	0
CHEBI:37838	0
CHEBI:27369	0
CHEBI:51151	0
CHEBI:33306	0
CHEBI:28087	0
CHEBI:35605	0
CHEBI:28976	0
CHEBI:33570	0
CHEBI:28938	0
CHEBI:35106	0
CHEBI:29337	0
CHEBI:50313	0
CHEBI:29101	0
CHEBI:28965	0
CHEBI:35693	0
CHEBI:38716	0
CHEBI:36961	0
CHEBI:29067	0
CHEBI:59252	0
CHEBI:33485	0
CHEBI:33504	0
CHEBI:79389	0
CHEBI:29793	0
CHEBI:33693	0
CHEBI:29987	0
CHEBI:57977	0
CHEBI:30089	0
CHEBI:35757	0
CHEBI:36235	0
CHEBI:30212	0
CHEBI:36341	0
CHEBI:3098	0
CHEBI:32988	0
CHEBI:33233	0
CHEBI:36342	0
CHEBI:36340	0
CHEBI:36343	0
CHEBI:36347	0
CHEBI:37175	0
CHEBI:33249	0
CHEBI:33252	0
CHEBI:33253	0
CHEBI:36339	0
CHEBI:33256	0
CHEBI:33281	0
CHEBI:52209	0
CHEBI:52210	0
CHEBI:52211	0
CHEBI:53000	0
CHEBI:64909	0
CHEBI:78295	0
CHEBI:64047	0
CHEBI:33286	0
CHEBI:33893	0
CHEBI:67079	0
CHEBI:78433	0
CHEBI:33287	0
CHEBI:33582	0
CHEBI:33561	0
CHEBI:33424	0
CHEBI:33484	0
CHEBI:33457	0
CHEBI:36360	0
CHEBI:33461	0
CHEBI:33566	0
CHEBI:33635	0
CHEBI:33636	0
CHEBI:33655	0
CHEBI:33676	0
CHEBI:33696	0
CHEBI:33697	0
CHEBI:33700	0
CHEBI:33710	0
CHEBI:33721	0
CHEBI:50160	0
